종목코드,종목명,시장,현재가,20일평균,상승률,거래량
049630,재영솔루텍,KOSDAQ,2885,2082,38.52,33170979
065660,안트로젠,KOSDAQ,34150,26347,29.61,45299
298830,슈어소프트테크,KOSDAQ,6200,5384,15.16,3292308
138490,코오롱ENP,KOSPI,8620,8038,7.24,287630
417310,코람코더원리츠,KOSPI,7970,7237,10.12,139834
380550,뉴로핏,KOSDAQ,27350,24470,11.77,1062778
308080,바이젠셀,KOSDAQ,15800,6446,145.08,10238190
092730,네오팜,KOSDAQ,20000,19000,5.26,105101
156100,엘앤케이바이오,KOSDAQ,15200,11700,29.91,608329
308430,셀비온,KOSDAQ,24700,21891,12.83,301291
295310,에이치브이엠,KOSDAQ,26600,23387,13.74,205200
010690,화신,KOSPI,8770,8204,6.9,187938
092460,한라IMS,KOSDAQ,17770,16189,9.77,258438
084990,헬릭스미스,KOSDAQ,6590,6205,6.2,393761
003200,일신방직,KOSPI,13070,12240,6.78,45423
007460,에이프로젠,KOSPI,910,717,26.79,22616138
481070,에이유브랜즈,KOSDAQ,20400,17533,16.35,53949
036890,진성티이씨,KOSDAQ,13160,12483,5.42,57908
452430,사피엔반도체,KOSDAQ,34800,29605,17.55,207008
199430,케이엔알시스템,KOSDAQ,26100,23755,9.87,281997
474650,링크솔루션,KOSDAQ,50000,36950,35.32,259594
001460,BYC,KOSPI,44800,40870,9.62,13290
394280,오픈엣지테크놀로지,KOSDAQ,12670,11611,9.12,93369
007160,사조산업,KOSPI,55600,51875,7.18,20234
024850,HLB이노베이션,KOSDAQ,1892,1724,9.74,399014
051370,인터플렉스,KOSDAQ,11690,10497,11.36,793453
236200,슈프리마,KOSDAQ,37000,33560,10.25,18565
299030,하나기술,KOSDAQ,33550,31245,7.38,76119
476040,오가노이드사이언스,KOSDAQ,40400,35065,15.21,338583
393890,더블유씨피,KOSDAQ GLOBAL,7890,7359,7.21,427594
005950,이수화학,KOSPI,10120,9614,5.26,994943
049070,인탑스,KOSDAQ,15470,14522,6.52,59617
033530,SJG세종,KOSPI,9490,8774,8.15,676585
027360,아주IB투자,KOSDAQ,2200,2037,7.97,514135
065710,서호전기,KOSDAQ,52200,45905,13.71,31018
900290,GRT,KOSDAQ,3305,2905,13.77,164277
128820,대성산업,KOSPI,5940,4793,23.92,23795051
255220,SG,KOSDAQ,2555,2404,6.26,2987822
368770,파이버프로,KOSDAQ,7880,6838,15.23,147522
011500,한농화성,KOSPI,16450,15382,6.94,270908
293780,압타바이오,KOSDAQ,9280,8119,14.29,457752
200470,에이팩트,KOSDAQ,5870,5090,15.31,1005511
389500,에스비비테크,KOSDAQ,39250,31045,26.43,417764
