테마번호,테마명,전일대비,최근3일등락률,상승,보합,하락,주도주1,주도주1코드,주도주2,주도주2코드,페이지
99,지능형로봇/인공지능(AI),+0.48%,-0.28%,30,1,33,셀바스AI,108860,유일로보틱..,388720,1
517,우크라이나 재건,+0.47%,+0.36%,20,1,15,SG,255220,HD현대인..,042670,1
449,2차전지(생산),+0.46%,+1.64%,1,0,2,삼성SDI,006400,LG에너지..,373220,1
128,엔터테인먼트,+0.45%,-0.43%,18,4,8,알비더블유,361570,하이브,352820,2
311,고령화 사회(노인복지),+0.45%,-0.21%,16,1,18,퓨쳐켐,220100,앱클론,174900,2
41,카메라모듈/부품,+0.44%,+0.66%,12,2,13,재영솔루텍,049630,자화전자,033240,2
404,폴더블폰,+0.43%,-0.13%,11,2,11,파인엠텍,441270,동운아나텍,094170,2
480,메타버스(Metaverse),+0.42%,-0.10%,22,2,25,셀바스AI,108860,SKAI,357880,2
373,5G(5세대 이동통신),+0.41%,+0.09%,24,1,28,RFHIC,218410,쏠리드,050890,2
45,캐릭터상품,+0.39%,-1.08%,7,0,2,손오공,066910,더핑크퐁컴..,403850,2
33,LED,+0.36%,+0.90%,14,2,23,성호전자,043260,레이크머티..,281740,2
400,조림사업,+0.35%,-0.72%,5,3,3,SUN&L,002820,동신건설,025950,2
55,보안주(정보),+0.34%,+0.48%,12,0,39,페스카로,0015S0,한국전자인..,041460,2
389,면역항암제,+0.34%,+0.46%,12,2,21,바이젠셀,308080,에이비엘바..,298380,2
104,스마트홈(홈네트워크),+0.32%,+0.91%,8,1,14,엠젠솔루션,032790,피에스텍,002230,2
127,영상콘텐츠,+0.30%,-0.37%,21,3,10,자이언트스..,289220,위지윅스튜..,299900,2
66,줄기세포,+0.29%,-0.53%,9,0,9,에스바이오..,304360,코아스템켐..,166480,2
227,전기차,+0.29%,+0.94%,31,5,62,뉴인텍,012340,성호전자,043260,2
402,아스콘(아스팔트 콘크리트),+0.29%,+0.03%,3,0,6,SG,255220,극동유화,014530,2
467,모더나(MODERNA),+0.28%,+0.03%,3,0,3,소마젠,950200,녹십자,006280,2
173,IT 대표주,+0.26%,+0.60%,2,0,4,SK하이닉..,000660,삼성SDI,006400,2
180,석유화학,+0.23%,+0.24%,6,1,10,대한유화,006650,코오롱인더,120110,2
310,리츠(REITs),+0.23%,+0.04%,14,4,5,SK리츠,395400,디앤디플랫..,377190,2
483,야놀자(Yanolja),+0.22%,-0.14%,2,0,3,아주IB투..,027360,그래디언트,035080,2
501,리비안(RIVIAN),+0.22%,+0.53%,9,2,10,상신이디피,091580,에코캡,128540,2
421,日제품 불매운동(수혜),+0.20%,-0.18%,9,3,8,BYC,001460,해태제과식..,101530,2
72,철강 중소형,+0.19%,+0.45%,19,4,14,한일철강,002220,한국특강,007280,2
341,밥솥,+0.19%,-0.41%,3,0,2,쿠쿠홀딩스,192400,어보브반도..,102120,2
474,쿠팡(coupang),+0.17%,+0.17%,6,3,12,다날,064260,알로이스,297570,2
79,자원개발,+0.16%,-0.20%,3,1,10,대성산업,128820,GS글로벌,001250,2
346,메르스 코로나 바이러스,+0.15%,-0.18%,8,2,10,에이프로젠..,003060,DXVX,180400,2
504,요소수,+0.15%,+0.02%,2,1,2,KG케미칼,001390,TKG휴켐..,069260,2
496,골프,+0.14%,+0.03%,5,0,10,와이엔텍,067900,베뉴지,019010,2
206,농업,+0.13%,+0.24%,12,0,10,포메탈,119500,대동기어,008830,2
319,화학섬유,+0.11%,-0.26%,2,0,4,코오롱인더,120110,성안머티리..,011300,2
470,마이크로바이옴,+0.10%,+0.08%,5,3,9,고바이오랩,348150,소마젠,950200,2
191,태양광에너지,+0.09%,+0.44%,10,0,36,뉴인텍,012340,레이크머티..,281740,2
342,핀테크(FinTech),+0.08%,+0.11%,13,0,19,다날,064260,헥토파이낸..,234340,2
398,DMZ 평화공원,+0.08%,+0.09%,7,3,8,유진로봇,056080,코아스,071950,2
521,애플페이,+0.08%,-0.39%,2,0,6,NHN K..,060250,나이스정보..,036800,2
313,남-북-러 가스관사업,+0.07%,+0.46%,7,2,5,대동스틸,048470,동양에스텍,060380,2
390,마이크로 LED,+0.07%,-0.32%,4,0,7,사피엔반도..,452430,영우디에스..,143540,2
18,전자파,+0.05%,+0.34%,4,0,8,아이씨에이..,368600,상신전자,263810,2
377,치매,+0.05%,+0.69%,18,2,29,에이비엘바..,298380,퓨쳐켐,220100,3
317,SNS(소셜네트워크서비스),+0.03%,+0.86%,3,0,7,NHN벅스,104200,포니링크,064800,3
447,코로나19(진단키트),+0.03%,-0.05%,11,3,27,일동제약,249420,나노엔텍,039860,3
279,스마트폰,+0.01%,-0.16%,24,7,32,자화전자,033240,해성옵틱스,076610,3
16,구제역/광우병 수혜,0.00%,-0.42%,6,0,14,사조산업,007160,사조오양,006090,3
44,시멘트/레미콘,0.00%,+0.47%,4,1,10,SG,255220,모헨즈,006920,3
427,"구충제(펜벤다졸, 이버멕틴 등)",0.00%,+0.56%,4,0,5,신풍제약,019170,체시스,033250,3
519,네옴시티,0.00%,+0.58%,8,1,17,세아베스틸..,001430,대모,317850,3
492,NFT(대체불가토큰),-0.01%,-0.24%,8,2,10,다날,064260,에이스토리,241840,3
40,휴대폰부품,-0.02%,-0.10%,13,8,23,재영솔루텍,049630,파인엠텍,441270,3
141,종합 물류,-0.03%,-0.37%,4,1,10,유성티엔에..,024800,인터지스,129260,3
170,골판지 제조,-0.03%,+0.23%,3,2,5,태림포장,011280,한국수출포..,002200,3
436,코로나19(진단/치료제/백신 개발 등),-0.03%,-0.28%,25,3,46,일동제약,249420,앱클론,174900,3
497,토스(toss),-0.03%,-0.49%,2,0,4,한국전자인..,041460,엔비티,236810,3
289,증강현실(AR),-0.04%,-0.44%,9,0,12,사피엔반도..,452430,동운아나텍,094170,3
545,온디바이스 AI,-0.04%,+0.76%,10,0,14,노타,486990,SK하이닉..,000660,3
228,국내 상장 중국기업,-0.05%,+0.04%,6,0,5,헝셩그룹,900270,컬러레이,900310,3
386,수소차(연료전지/부품/충전소 등),-0.05%,+0.17%,21,5,46,뉴인텍,012340,유일에너테..,340930,3
547,CXL(컴퓨트익스프레스링크),-0.05%,+0.86%,4,0,9,SK하이닉..,000660,오킨스전자,080580,3
106,바이오인식(생체인식),-0.06%,+0.27%,7,1,11,해성옵틱스,076610,동운아나텍,094170,3
370,3D 낸드(NAND),-0.06%,+0.29%,6,1,11,SK하이닉..,000660,피에스케이,319660,3
534,페라이트,-0.06%,+0.07%,4,3,7,상신전자,263810,삼화전자,011230,3
86,"주류업(주정, 에탄올 등)",-0.07%,-0.44%,6,1,6,한국알콜,017890,나라셀라,405920,3
316,엔젤산업,-0.07%,-0.35%,12,1,12,손오공,066910,네오팜,092730,3
348,삼성페이,-0.07%,-0.17%,6,1,19,다날,064260,지니틱스,303030,3
585,김밥(냉동김밥 등),-0.07%,-0.42%,2,0,4,우양,103840,사조대림,003960,3
56,NI(네트워크통합),-0.08%,-0.14%,2,1,4,인성정보,033230,아이티센씨..,031820,3
290,"스포츠행사 수혜(올림픽, 월드컵 등)",-0.08%,-0.03%,4,0,5,동우팜투테..,088910,SBS,034120,3
187,핵융합에너지,-0.09%,+0.13%,5,0,4,다원시스,068240,고려제강,002240,3
375,4차산업 수혜주,-0.09%,-0.14%,15,0,26,셀바스AI,108860,큐렉소,060280,3
